,region,number_of_cases,number_of_cases_for_10k,date
14637,Cały kraj,1780,0.46,2023-04-03
14638,Dolnośląskie,96,0.33,2023-04-03
14639,Kujawsko-pomorskie,116,0.56,2023-04-03
14640,Lubelskie,151,0.72,2023-04-03
14641,Lubuskie,36,0.36,2023-04-03
14642,Łódzkie,106,0.43,2023-04-03
14643,Małopolskie,117,0.34,2023-04-03
14644,Mazowieckie,346,0.64,2023-04-03
14645,Opolskie,40,0.41,2023-04-03
14646,Podkarpackie,70,0.33,2023-04-03
14647,Podlaskie,80,0.68,2023-04-03
14648,Pomorskie,94,0.4,2023-04-03
14649,Śląskie,122,0.27,2023-04-03
14650,Świętokrzyskie,69,0.56,2023-04-03
14651,Warmińsko-mazurskie,80,0.56,2023-04-03
14652,Wielkopolskie,113,0.32,2023-04-03
14653,Zachodniopomorskie,131,0.77,2023-04-03
14654,Cały kraj,1240,0.32,2023-04-04
14655,Dolnośląskie,68,0.23,2023-04-04
14656,Kujawsko-pomorskie,74,0.36,2023-04-04
14657,Lubelskie,116,0.55,2023-04-04
14658,Lubuskie,28,0.28,2023-04-04
14659,Łódzkie,76,0.31,2023-04-04
14660,Małopolskie,92,0.27,2023-04-04
14661,Mazowieckie,240,0.44,2023-04-04
14662,Opolskie,23,0.23,2023-04-04
14663,Podkarpackie,52,0.24,2023-04-04
14664,Podlaskie,55,0.47,2023-04-04
14665,Pomorskie,60,0.26,2023-04-04
14666,Śląskie,86,0.19,2023-04-04
14667,Świętokrzyskie,40,0.33,2023-04-04
14668,Warmińsko-mazurskie,51,0.36,2023-04-04
14669,Wielkopolskie,93,0.27,2023-04-04
14670,Zachodniopomorskie,77,0.45,2023-04-04
14671,Cały kraj,1171,0.31,2023-04-05
14672,Dolnośląskie,51,0.18,2023-04-05
14673,Kujawsko-pomorskie,40,0.19,2023-04-05
14674,Lubelskie,97,0.46,2023-04-05
14675,Lubuskie,29,0.29,2023-04-05
14676,Łódzkie,69,0.28,2023-04-05
14677,Małopolskie,77,0.23,2023-04-05
14678,Mazowieckie,214,0.39,2023-04-05
14679,Opolskie,17,0.17,2023-04-05
14680,Podkarpackie,66,0.31,2023-04-05
14681,Podlaskie,67,0.57,2023-04-05
14682,Pomorskie,61,0.26,2023-04-05
14683,Śląskie,84,0.19,2023-04-05
14684,Świętokrzyskie,43,0.35,2023-04-05
14685,Warmińsko-mazurskie,67,0.47,2023-04-05
14686,Wielkopolskie,98,0.28,2023-04-05
14687,Zachodniopomorskie,74,0.44,2023-04-05
14688,Cały kraj,946,0.25,2023-04-06
14689,Dolnośląskie,64,0.22,2023-04-06
14690,Kujawsko-pomorskie,28,0.14,2023-04-06
14691,Lubelskie,91,0.43,2023-04-06
14692,Lubuskie,23,0.23,2023-04-06
14693,Łódzkie,65,0.27,2023-04-06
14694,Małopolskie,61,0.18,2023-04-06
14695,Mazowieckie,166,0.31,2023-04-06
14696,Opolskie,26,0.27,2023-04-06
14697,Podkarpackie,31,0.15,2023-04-06
14698,Podlaskie,58,0.49,2023-04-06
14699,Pomorskie,39,0.17,2023-04-06
14700,Śląskie,64,0.14,2023-04-06
14701,Świętokrzyskie,33,0.27,2023-04-06
14702,Warmińsko-mazurskie,33,0.23,2023-04-06
14703,Wielkopolskie,59,0.17,2023-04-06
14704,Zachodniopomorskie,81,0.48,2023-04-06
14705,Cały kraj,839,0.22,2023-04-07
14706,Dolnośląskie,50,0.17,2023-04-07
14707,Kujawsko-pomorskie,35,0.17,2023-04-07
14708,Lubelskie,73,0.35,2023-04-07
14709,Lubuskie,19,0.19,2023-04-07
14710,Łódzkie,45,0.18,2023-04-07
14711,Małopolskie,60,0.18,2023-04-07
14712,Mazowieckie,148,0.27,2023-04-07
14713,Opolskie,21,0.21,2023-04-07
14714,Podkarpackie,33,0.16,2023-04-07
14715,Podlaskie,46,0.39,2023-04-07
14716,Pomorskie,48,0.2,2023-04-07
14717,Śląskie,79,0.18,2023-04-07
14718,Świętokrzyskie,31,0.25,2023-04-07
14719,Warmińsko-mazurskie,36,0.25,2023-04-07
14720,Wielkopolskie,48,0.14,2023-04-07
14721,Zachodniopomorskie,55,0.32,2023-04-07
14722,Cały kraj,161,0.04,2023-04-08
14723,Dolnośląskie,7,0.02,2023-04-08
14724,Kujawsko-pomorskie,6,0.03,2023-04-08
14725,Lubelskie,20,0.1,2023-04-08
14726,Lubuskie,1,0.01,2023-04-08
14727,Łódzkie,10,0.04,2023-04-08
14728,Małopolskie,14,0.04,2023-04-08
14729,Mazowieckie,27,0.05,2023-04-08
14730,Opolskie,7,0.07,2023-04-08
14731,Podkarpackie,4,0.02,2023-04-08
14732,Podlaskie,6,0.05,2023-04-08
14733,Pomorskie,7,0.03,2023-04-08
14734,Śląskie,10,0.02,2023-04-08
14735,Świętokrzyskie,9,0.07,2023-04-08
14736,Warmińsko-mazurskie,5,0.04,2023-04-08
14737,Wielkopolskie,10,0.03,2023-04-08
14738,Zachodniopomorskie,8,0.05,2023-04-08
14739,Cały kraj,116,0.03,2023-04-09
14740,Dolnośląskie,8,0.03,2023-04-09
14741,Kujawsko-pomorskie,6,0.03,2023-04-09
14742,Lubelskie,6,0.03,2023-04-09
14743,Lubuskie,6,0.06,2023-04-09
14744,Łódzkie,11,0.04,2023-04-09
14745,Małopolskie,6,0.02,2023-04-09
14746,Mazowieckie,18,0.03,2023-04-09
14747,Opolskie,2,0.02,2023-04-09
14748,Podkarpackie,6,0.03,2023-04-09
14749,Podlaskie,6,0.05,2023-04-09
14750,Pomorskie,6,0.03,2023-04-09
14751,Śląskie,8,0.02,2023-04-09
14752,Świętokrzyskie,5,0.04,2023-04-09
14753,Warmińsko-mazurskie,3,0.02,2023-04-09
14754,Wielkopolskie,6,0.02,2023-04-09
14755,Zachodniopomorskie,4,0.02,2023-04-09
14756,Cały kraj,146,0.04,2023-04-10
14757,Dolnośląskie,7,0.02,2023-04-10
14758,Kujawsko-pomorskie,5,0.02,2023-04-10
14759,Lubelskie,9,0.04,2023-04-10
14760,Lubuskie,3,0.03,2023-04-10
14761,Łódzkie,8,0.03,2023-04-10
14762,Małopolskie,4,0.01,2023-04-10
14763,Mazowieckie,28,0.05,2023-04-10
14764,Opolskie,6,0.06,2023-04-10
14765,Podkarpackie,8,0.04,2023-04-10
14766,Podlaskie,8,0.07,2023-04-10
14767,Pomorskie,8,0.03,2023-04-10
14768,Śląskie,14,0.03,2023-04-10
14769,Świętokrzyskie,4,0.03,2023-04-10
14770,Warmińsko-mazurskie,10,0.07,2023-04-10
14771,Wielkopolskie,7,0.02,2023-04-10
14772,Zachodniopomorskie,6,0.04,2023-04-10
14773,Cały kraj,1389,0.36,2023-04-11
14774,Dolnośląskie,80,0.28,2023-04-11
14775,Kujawsko-pomorskie,70,0.34,2023-04-11
14776,Lubelskie,99,0.47,2023-04-11
14777,Lubuskie,42,0.42,2023-04-11
14778,Łódzkie,79,0.32,2023-04-11
14779,Małopolskie,90,0.26,2023-04-11
14780,Mazowieckie,242,0.45,2023-04-11
14781,Opolskie,30,0.31,2023-04-11
14782,Podkarpackie,65,0.31,2023-04-11
14783,Podlaskie,93,0.79,2023-04-11
14784,Pomorskie,56,0.24,2023-04-11
14785,Śląskie,101,0.22,2023-04-11
14786,Świętokrzyskie,53,0.43,2023-04-11
14787,Warmińsko-mazurskie,70,0.49,2023-04-11
14788,Wielkopolskie,100,0.29,2023-04-11
14789,Zachodniopomorskie,92,0.54,2023-04-11
14790,Cały kraj,1090,0.28,2023-04-12
14791,Dolnośląskie,80,0.28,2023-04-12
14792,Kujawsko-pomorskie,47,0.23,2023-04-12
14793,Lubelskie,93,0.44,2023-04-12
14794,Lubuskie,63,0.62,2023-04-12
14795,Łódzkie,66,0.27,2023-04-12
14796,Małopolskie,75,0.22,2023-04-12
14797,Mazowieckie,165,0.3,2023-04-12
14798,Opolskie,25,0.25,2023-04-12
14799,Podkarpackie,38,0.18,2023-04-12
14800,Podlaskie,49,0.42,2023-04-12
14801,Pomorskie,58,0.25,2023-04-12
14802,Śląskie,73,0.16,2023-04-12
14803,Świętokrzyskie,23,0.19,2023-04-12
14804,Warmińsko-mazurskie,46,0.32,2023-04-12
14805,Wielkopolskie,86,0.25,2023-04-12
14806,Zachodniopomorskie,87,0.51,2023-04-12
14807,Cały kraj,914,0.24,2023-04-13
14808,Dolnośląskie,61,0.21,2023-04-13
14809,Kujawsko-pomorskie,43,0.21,2023-04-13
14810,Lubelskie,86,0.41,2023-04-13
14811,Lubuskie,18,0.18,2023-04-13
14812,Łódzkie,45,0.18,2023-04-13
14813,Małopolskie,77,0.23,2023-04-13
14814,Mazowieckie,140,0.26,2023-04-13
14815,Opolskie,21,0.21,2023-04-13
14816,Podkarpackie,63,0.3,2023-04-13
14817,Podlaskie,59,0.5,2023-04-13
14818,Pomorskie,42,0.18,2023-04-13
14819,Śląskie,49,0.11,2023-04-13
14820,Świętokrzyskie,22,0.18,2023-04-13
14821,Warmińsko-mazurskie,61,0.43,2023-04-13
14822,Wielkopolskie,44,0.13,2023-04-13
14823,Zachodniopomorskie,75,0.44,2023-04-13
14824,Cały kraj,912,0.24,2023-04-14
14825,Dolnośląskie,40,0.14,2023-04-14
14826,Kujawsko-pomorskie,30,0.14,2023-04-14
14827,Lubelskie,96,0.46,2023-04-14
14828,Lubuskie,25,0.25,2023-04-14
14829,Łódzkie,33,0.13,2023-04-14
14830,Małopolskie,77,0.23,2023-04-14
14831,Mazowieckie,176,0.32,2023-04-14
14832,Opolskie,19,0.19,2023-04-14
14833,Podkarpackie,50,0.24,2023-04-14
14834,Podlaskie,32,0.27,2023-04-14
14835,Pomorskie,37,0.16,2023-04-14
14836,Śląskie,79,0.18,2023-04-14
14837,Świętokrzyskie,42,0.34,2023-04-14
14838,Warmińsko-mazurskie,40,0.28,2023-04-14
14839,Wielkopolskie,51,0.15,2023-04-14
14840,Zachodniopomorskie,73,0.43,2023-04-14
14841,Cały kraj,104,0.03,2023-04-15
14842,Dolnośląskie,5,0.02,2023-04-15
14843,Kujawsko-pomorskie,0,0.0,2023-04-15
14844,Lubelskie,6,0.03,2023-04-15
14845,Lubuskie,3,0.03,2023-04-15
14846,Łódzkie,6,0.02,2023-04-15
14847,Małopolskie,6,0.02,2023-04-15
14848,Mazowieckie,16,0.03,2023-04-15
14849,Opolskie,1,0.01,2023-04-15
14850,Podkarpackie,7,0.03,2023-04-15
14851,Podlaskie,5,0.04,2023-04-15
14852,Pomorskie,6,0.03,2023-04-15
14853,Śląskie,12,0.03,2023-04-15
14854,Świętokrzyskie,6,0.05,2023-04-15
14855,Warmińsko-mazurskie,1,0.01,2023-04-15
14856,Wielkopolskie,10,0.03,2023-04-15
14857,Zachodniopomorskie,7,0.04,2023-04-15
14858,Cały kraj,107,0.03,2023-04-16
14859,Dolnośląskie,5,0.02,2023-04-16
14860,Kujawsko-pomorskie,1,0.0,2023-04-16
14861,Lubelskie,5,0.02,2023-04-16
14862,Lubuskie,7,0.07,2023-04-16
14863,Łódzkie,10,0.04,2023-04-16
14864,Małopolskie,5,0.01,2023-04-16
14865,Mazowieckie,18,0.03,2023-04-16
14866,Opolskie,2,0.02,2023-04-16
14867,Podkarpackie,7,0.03,2023-04-16
14868,Podlaskie,4,0.03,2023-04-16
14869,Pomorskie,4,0.02,2023-04-16
14870,Śląskie,13,0.03,2023-04-16
14871,Świętokrzyskie,6,0.05,2023-04-16
14872,Warmińsko-mazurskie,6,0.04,2023-04-16
14873,Wielkopolskie,6,0.02,2023-04-16
14874,Zachodniopomorskie,3,0.02,2023-04-16
14875,Cały kraj,993,0.26,2023-04-17
14876,Dolnośląskie,74,0.26,2023-04-17
14877,Kujawsko-pomorskie,43,0.21,2023-04-17
14878,Lubelskie,104,0.49,2023-04-17
14879,Lubuskie,28,0.28,2023-04-17
14880,Łódzkie,53,0.22,2023-04-17
14881,Małopolskie,82,0.24,2023-04-17
14882,Mazowieckie,123,0.23,2023-04-17
14883,Opolskie,7,0.07,2023-04-17
14884,Podkarpackie,82,0.39,2023-04-17
14885,Podlaskie,51,0.43,2023-04-17
14886,Pomorskie,48,0.2,2023-04-17
14887,Śląskie,72,0.16,2023-04-17
14888,Świętokrzyskie,40,0.33,2023-04-17
14889,Warmińsko-mazurskie,37,0.26,2023-04-17
14890,Wielkopolskie,70,0.2,2023-04-17
14891,Zachodniopomorskie,64,0.38,2023-04-17
14892,Cały kraj,631,0.16,2023-04-18
14893,Dolnośląskie,31,0.11,2023-04-18
14894,Kujawsko-pomorskie,26,0.13,2023-04-18
14895,Lubelskie,65,0.31,2023-04-18
14896,Lubuskie,14,0.14,2023-04-18
14897,Łódzkie,31,0.13,2023-04-18
14898,Małopolskie,52,0.15,2023-04-18
14899,Mazowieckie,110,0.2,2023-04-18
14900,Opolskie,9,0.09,2023-04-18
14901,Podkarpackie,26,0.12,2023-04-18
14902,Podlaskie,28,0.24,2023-04-18
14903,Pomorskie,40,0.17,2023-04-18
14904,Śląskie,47,0.1,2023-04-18
14905,Świętokrzyskie,22,0.18,2023-04-18
14906,Warmińsko-mazurskie,32,0.23,2023-04-18
14907,Wielkopolskie,43,0.12,2023-04-18
14908,Zachodniopomorskie,41,0.24,2023-04-18
14909,Cały kraj,511,0.13,2023-04-19
14910,Dolnośląskie,34,0.12,2023-04-19
14911,Kujawsko-pomorskie,16,0.08,2023-04-19
14912,Lubelskie,56,0.27,2023-04-19
14913,Lubuskie,16,0.16,2023-04-19
14914,Łódzkie,20,0.08,2023-04-19
14915,Małopolskie,45,0.13,2023-04-19
14916,Mazowieckie,63,0.12,2023-04-19
14917,Opolskie,5,0.05,2023-04-19
14918,Podkarpackie,31,0.15,2023-04-19
14919,Podlaskie,26,0.22,2023-04-19
14920,Pomorskie,27,0.12,2023-04-19
14921,Śląskie,43,0.1,2023-04-19
14922,Świętokrzyskie,18,0.15,2023-04-19
14923,Warmińsko-mazurskie,23,0.16,2023-04-19
14924,Wielkopolskie,37,0.11,2023-04-19
14925,Zachodniopomorskie,41,0.24,2023-04-19
14926,Cały kraj,455,0.12,2023-04-20
14927,Dolnośląskie,17,0.06,2023-04-20
14928,Kujawsko-pomorskie,18,0.09,2023-04-20
14929,Lubelskie,52,0.25,2023-04-20
14930,Lubuskie,16,0.16,2023-04-20
14931,Łódzkie,38,0.16,2023-04-20
14932,Małopolskie,27,0.08,2023-04-20
14933,Mazowieckie,71,0.13,2023-04-20
14934,Opolskie,12,0.12,2023-04-20
14935,Podkarpackie,19,0.09,2023-04-20
14936,Podlaskie,22,0.19,2023-04-20
14937,Pomorskie,12,0.05,2023-04-20
14938,Śląskie,35,0.08,2023-04-20
14939,Świętokrzyskie,20,0.16,2023-04-20
14940,Warmińsko-mazurskie,20,0.14,2023-04-20
14941,Wielkopolskie,22,0.06,2023-04-20
14942,Zachodniopomorskie,40,0.24,2023-04-20
14943,Cały kraj,445,0.12,2023-04-21
14944,Dolnośląskie,22,0.08,2023-04-21
14945,Kujawsko-pomorskie,16,0.08,2023-04-21
14946,Lubelskie,35,0.17,2023-04-21
14947,Lubuskie,13,0.13,2023-04-21
14948,Łódzkie,18,0.07,2023-04-21
14949,Małopolskie,57,0.17,2023-04-21
14950,Mazowieckie,69,0.13,2023-04-21
14951,Opolskie,8,0.08,2023-04-21
14952,Podkarpackie,35,0.16,2023-04-21
14953,Podlaskie,21,0.18,2023-04-21
14954,Pomorskie,13,0.06,2023-04-21
14955,Śląskie,42,0.09,2023-04-21
14956,Świętokrzyskie,12,0.1,2023-04-21
14957,Warmińsko-mazurskie,19,0.13,2023-04-21
14958,Wielkopolskie,22,0.06,2023-04-21
14959,Zachodniopomorskie,33,0.19,2023-04-21
14960,Cały kraj,73,0.02,2023-04-22
14961,Dolnośląskie,4,0.01,2023-04-22
14962,Kujawsko-pomorskie,0,0.0,2023-04-22
14963,Lubelskie,6,0.03,2023-04-22
14964,Lubuskie,2,0.02,2023-04-22
14965,Łódzkie,10,0.04,2023-04-22
14966,Małopolskie,3,0.01,2023-04-22
14967,Mazowieckie,7,0.01,2023-04-22
14968,Opolskie,3,0.03,2023-04-22
14969,Podkarpackie,2,0.01,2023-04-22
14970,Podlaskie,4,0.03,2023-04-22
14971,Pomorskie,2,0.01,2023-04-22
14972,Śląskie,6,0.01,2023-04-22
14973,Świętokrzyskie,5,0.04,2023-04-22
14974,Warmińsko-mazurskie,4,0.03,2023-04-22
14975,Wielkopolskie,8,0.02,2023-04-22
14976,Zachodniopomorskie,3,0.02,2023-04-22
14977,Cały kraj,76,0.02,2023-04-23
14978,Dolnośląskie,6,0.02,2023-04-23
14979,Kujawsko-pomorskie,1,0.0,2023-04-23
14980,Lubelskie,2,0.01,2023-04-23
14981,Lubuskie,3,0.03,2023-04-23
14982,Łódzkie,8,0.03,2023-04-23
14983,Małopolskie,4,0.01,2023-04-23
14984,Mazowieckie,13,0.02,2023-04-23
14985,Opolskie,1,0.01,2023-04-23
14986,Podkarpackie,3,0.01,2023-04-23
14987,Podlaskie,2,0.02,2023-04-23
14988,Pomorskie,5,0.02,2023-04-23
14989,Śląskie,5,0.01,2023-04-23
14990,Świętokrzyskie,5,0.04,2023-04-23
14991,Warmińsko-mazurskie,1,0.01,2023-04-23
14992,Wielkopolskie,6,0.02,2023-04-23
14993,Zachodniopomorskie,7,0.04,2023-04-23
14994,Cały kraj,547,0.14,2023-04-24
14995,Dolnośląskie,25,0.09,2023-04-24
14996,Kujawsko-pomorskie,8,0.04,2023-04-24
14997,Lubelskie,53,0.25,2023-04-24
14998,Lubuskie,15,0.15,2023-04-24
14999,Łódzkie,18,0.07,2023-04-24
15000,Małopolskie,34,0.1,2023-04-24
15001,Mazowieckie,93,0.17,2023-04-24
15002,Opolskie,16,0.16,2023-04-24
15003,Podkarpackie,34,0.16,2023-04-24
15004,Podlaskie,28,0.24,2023-04-24
15005,Pomorskie,26,0.11,2023-04-24
15006,Śląskie,73,0.16,2023-04-24
15007,Świętokrzyskie,18,0.15,2023-04-24
15008,Warmińsko-mazurskie,21,0.15,2023-04-24
15009,Wielkopolskie,37,0.11,2023-04-24
15010,Zachodniopomorskie,35,0.21,2023-04-24
15011,Cały kraj,351,0.09,2023-04-25
15012,Dolnośląskie,16,0.06,2023-04-25
15013,Kujawsko-pomorskie,19,0.09,2023-04-25
15014,Lubelskie,40,0.19,2023-04-25
15015,Lubuskie,9,0.09,2023-04-25
15016,Łódzkie,16,0.07,2023-04-25
15017,Małopolskie,30,0.09,2023-04-25
15018,Mazowieckie,51,0.09,2023-04-25
15019,Opolskie,6,0.06,2023-04-25
15020,Podkarpackie,14,0.07,2023-04-25
15021,Podlaskie,16,0.14,2023-04-25
15022,Pomorskie,20,0.09,2023-04-25
15023,Śląskie,37,0.08,2023-04-25
15024,Świętokrzyskie,11,0.09,2023-04-25
15025,Warmińsko-mazurskie,17,0.12,2023-04-25
15026,Wielkopolskie,14,0.04,2023-04-25
15027,Zachodniopomorskie,24,0.14,2023-04-25
15028,Cały kraj,342,0.09,2023-04-26
15029,Dolnośląskie,22,0.08,2023-04-26
15030,Kujawsko-pomorskie,10,0.05,2023-04-26
15031,Lubelskie,34,0.16,2023-04-26
15032,Lubuskie,15,0.15,2023-04-26
15033,Łódzkie,18,0.07,2023-04-26
15034,Małopolskie,21,0.06,2023-04-26
15035,Mazowieckie,58,0.11,2023-04-26
15036,Opolskie,7,0.07,2023-04-26
15037,Podkarpackie,14,0.07,2023-04-26
15038,Podlaskie,20,0.17,2023-04-26
15039,Pomorskie,12,0.05,2023-04-26
15040,Śląskie,24,0.05,2023-04-26
15041,Świętokrzyskie,14,0.11,2023-04-26
15042,Warmińsko-mazurskie,15,0.11,2023-04-26
15043,Wielkopolskie,18,0.05,2023-04-26
15044,Zachodniopomorskie,35,0.21,2023-04-26
15045,Cały kraj,286,0.07,2023-04-27
15046,Dolnośląskie,16,0.06,2023-04-27
15047,Kujawsko-pomorskie,7,0.03,2023-04-27
15048,Lubelskie,25,0.12,2023-04-27
15049,Lubuskie,1,0.01,2023-04-27
15050,Łódzkie,8,0.03,2023-04-27
15051,Małopolskie,22,0.06,2023-04-27
15052,Mazowieckie,53,0.1,2023-04-27
15053,Opolskie,10,0.1,2023-04-27
15054,Podkarpackie,14,0.07,2023-04-27
15055,Podlaskie,19,0.16,2023-04-27
15056,Pomorskie,19,0.08,2023-04-27
15057,Śląskie,23,0.05,2023-04-27
15058,Świętokrzyskie,7,0.06,2023-04-27
15059,Warmińsko-mazurskie,14,0.1,2023-04-27
15060,Wielkopolskie,19,0.05,2023-04-27
15061,Zachodniopomorskie,25,0.15,2023-04-27
15062,Cały kraj,254,0.07,2023-04-28
15063,Dolnośląskie,13,0.04,2023-04-28
15064,Kujawsko-pomorskie,7,0.03,2023-04-28
15065,Lubelskie,25,0.12,2023-04-28
15066,Lubuskie,5,0.05,2023-04-28
15067,Łódzkie,14,0.06,2023-04-28
15068,Małopolskie,34,0.1,2023-04-28
15069,Mazowieckie,40,0.07,2023-04-28
15070,Opolskie,7,0.07,2023-04-28
15071,Podkarpackie,14,0.07,2023-04-28
15072,Podlaskie,13,0.11,2023-04-28
15073,Pomorskie,14,0.06,2023-04-28
15074,Śląskie,18,0.04,2023-04-28
15075,Świętokrzyskie,3,0.02,2023-04-28
15076,Warmińsko-mazurskie,13,0.09,2023-04-28
15077,Wielkopolskie,13,0.04,2023-04-28
15078,Zachodniopomorskie,12,0.07,2023-04-28
15079,Cały kraj,45,0.01,2023-04-29
15080,Dolnośląskie,1,0.0,2023-04-29
15081,Kujawsko-pomorskie,0,0.0,2023-04-29
15082,Lubelskie,2,0.01,2023-04-29
15083,Lubuskie,1,0.01,2023-04-29
15084,Łódzkie,3,0.01,2023-04-29
15085,Małopolskie,8,0.02,2023-04-29
15086,Mazowieckie,9,0.02,2023-04-29
15087,Opolskie,1,0.01,2023-04-29
15088,Podkarpackie,2,0.01,2023-04-29
15089,Podlaskie,1,0.01,2023-04-29
15090,Pomorskie,2,0.01,2023-04-29
15091,Śląskie,3,0.01,2023-04-29
15092,Świętokrzyskie,2,0.02,2023-04-29
15093,Warmińsko-mazurskie,1,0.01,2023-04-29
15094,Wielkopolskie,4,0.01,2023-04-29
15095,Zachodniopomorskie,1,0.01,2023-04-29
15096,Cały kraj,53,0.01,2023-04-30
15097,Dolnośląskie,2,0.01,2023-04-30
15098,Kujawsko-pomorskie,3,0.01,2023-04-30
15099,Lubelskie,4,0.02,2023-04-30
15100,Lubuskie,1,0.01,2023-04-30
15101,Łódzkie,1,0.0,2023-04-30
15102,Małopolskie,5,0.01,2023-04-30
15103,Mazowieckie,10,0.02,2023-04-30
15104,Opolskie,1,0.01,2023-04-30
15105,Podkarpackie,2,0.01,2023-04-30
15106,Podlaskie,2,0.02,2023-04-30
15107,Pomorskie,4,0.02,2023-04-30
15108,Śląskie,5,0.01,2023-04-30
15109,Świętokrzyskie,1,0.01,2023-04-30
15110,Warmińsko-mazurskie,1,0.01,2023-04-30
15111,Wielkopolskie,2,0.01,2023-04-30
15112,Zachodniopomorskie,4,0.02,2023-04-30
15113,Cały kraj,45,0.01,2023-05-01
15114,Dolnośląskie,2,0.01,2023-05-01
15115,Kujawsko-pomorskie,2,0.01,2023-05-01
15116,Lubelskie,2,0.01,2023-05-01
15117,Lubuskie,0,0.0,2023-05-01
15118,Łódzkie,7,0.03,2023-05-01
15119,Małopolskie,4,0.01,2023-05-01
15120,Mazowieckie,7,0.01,2023-05-01
15121,Opolskie,0,0.0,2023-05-01
15122,Podkarpackie,2,0.01,2023-05-01
15123,Podlaskie,0,0.0,2023-05-01
15124,Pomorskie,2,0.01,2023-05-01
15125,Śląskie,0,0.0,2023-05-01
15126,Świętokrzyskie,3,0.02,2023-05-01
15127,Warmińsko-mazurskie,5,0.04,2023-05-01
15128,Wielkopolskie,1,0.0,2023-05-01
15129,Zachodniopomorskie,2,0.01,2023-05-01
15130,Cały kraj,247,0.06,2023-05-02
15131,Dolnośląskie,13,0.04,2023-05-02
15132,Kujawsko-pomorskie,10,0.05,2023-05-02
15133,Lubelskie,27,0.13,2023-05-02
15134,Lubuskie,12,0.12,2023-05-02
15135,Łódzkie,12,0.05,2023-05-02
15136,Małopolskie,23,0.07,2023-05-02
15137,Mazowieckie,32,0.06,2023-05-02
15138,Opolskie,6,0.06,2023-05-02
15139,Podkarpackie,6,0.03,2023-05-02
15140,Podlaskie,9,0.08,2023-05-02
15141,Pomorskie,12,0.05,2023-05-02
15142,Śląskie,24,0.05,2023-05-02
15143,Świętokrzyskie,10,0.08,2023-05-02
15144,Warmińsko-mazurskie,14,0.1,2023-05-02
15145,Wielkopolskie,17,0.05,2023-05-02
15146,Zachodniopomorskie,17,0.1,2023-05-02
15147,Cały kraj,59,0.02,2023-05-03
15148,Dolnośląskie,7,0.02,2023-05-03
15149,Kujawsko-pomorskie,1,0.0,2023-05-03
15150,Lubelskie,5,0.02,2023-05-03
15151,Lubuskie,3,0.03,2023-05-03
15152,Łódzkie,2,0.01,2023-05-03
15153,Małopolskie,3,0.01,2023-05-03
15154,Mazowieckie,8,0.01,2023-05-03
15155,Opolskie,1,0.01,2023-05-03
15156,Podkarpackie,3,0.01,2023-05-03
15157,Podlaskie,4,0.03,2023-05-03
15158,Pomorskie,2,0.01,2023-05-03
15159,Śląskie,5,0.01,2023-05-03
15160,Świętokrzyskie,2,0.02,2023-05-03
15161,Warmińsko-mazurskie,2,0.01,2023-05-03
15162,Wielkopolskie,4,0.01,2023-05-03
15163,Zachodniopomorskie,3,0.02,2023-05-03
15164,Cały kraj,251,0.07,2023-05-04
15165,Dolnośląskie,15,0.05,2023-05-04
15166,Kujawsko-pomorskie,16,0.08,2023-05-04
15167,Lubelskie,27,0.13,2023-05-04
15168,Lubuskie,9,0.09,2023-05-04
15169,Łódzkie,14,0.06,2023-05-04
15170,Małopolskie,16,0.05,2023-05-04
15171,Mazowieckie,33,0.06,2023-05-04
15172,Opolskie,14,0.14,2023-05-04
15173,Podkarpackie,12,0.06,2023-05-04
15174,Podlaskie,22,0.19,2023-05-04
15175,Pomorskie,8,0.03,2023-05-04
15176,Śląskie,21,0.05,2023-05-04
15177,Świętokrzyskie,4,0.03,2023-05-04
15178,Warmińsko-mazurskie,11,0.08,2023-05-04
15179,Wielkopolskie,13,0.04,2023-05-04
15180,Zachodniopomorskie,11,0.06,2023-05-04
15181,Cały kraj,234,0.06,2023-05-05
15182,Dolnośląskie,14,0.05,2023-05-05
15183,Kujawsko-pomorskie,15,0.07,2023-05-05
15184,Lubelskie,12,0.06,2023-05-05
15185,Lubuskie,9,0.09,2023-05-05
15186,Łódzkie,8,0.03,2023-05-05
15187,Małopolskie,7,0.02,2023-05-05
15188,Mazowieckie,34,0.06,2023-05-05
15189,Opolskie,8,0.08,2023-05-05
15190,Podkarpackie,17,0.08,2023-05-05
15191,Podlaskie,6,0.05,2023-05-05
15192,Pomorskie,9,0.04,2023-05-05
15193,Śląskie,18,0.04,2023-05-05
15194,Świętokrzyskie,7,0.06,2023-05-05
15195,Warmińsko-mazurskie,11,0.08,2023-05-05
15196,Wielkopolskie,14,0.04,2023-05-05
15197,Zachodniopomorskie,17,0.1,2023-05-05
15198,Cały kraj,44,0.01,2023-05-06
15199,Dolnośląskie,4,0.01,2023-05-06
15200,Kujawsko-pomorskie,1,0.0,2023-05-06
15201,Lubelskie,5,0.02,2023-05-06
15202,Lubuskie,2,0.02,2023-05-06
15203,Łódzkie,4,0.02,2023-05-06
15204,Małopolskie,5,0.01,2023-05-06
15205,Mazowieckie,1,0.0,2023-05-06
15206,Opolskie,1,0.01,2023-05-06
15207,Podkarpackie,1,0.0,2023-05-06
15208,Podlaskie,1,0.01,2023-05-06
15209,Pomorskie,2,0.01,2023-05-06
15210,Śląskie,2,0.0,2023-05-06
